"Player","Season","Team","Position","GP","TOI_All","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"Tyler Seguin","22-23","DAL","C",76,1262.9,4.2,0.2,-0.1,-0.3,0.6,0,4.1,-0.1,0.6,4.6,0.8,1.5
"Tyler Toffoli","22-23","CGY","R",82,1361.3,11.5,2.7,4.8,1.6,0.6,-0.1,16.3,4.4,0.4,21.1,3.6,6.8
"Tyler Tucker","22-23","STL","D",26,380.7,-3,1.3,0,0.2,0.5,-0.1,-3,1.5,0.4,-1.1,-0.2,-0.4
"Tyson Barrie","22-23","EDM","D",61,1167.6,0.3,1.2,6,-2.8,0.7,0.2,6.3,-1.6,1,5.6,0.9,1.8
"Tyson Barrie","22-23","NSH","D",24,513.6,-1.7,-4.5,-0.8,-0.1,0.2,-0.2,-2.5,-4.5,0,-7,-1.2,-2.3
"Tyson Foerster","22-23","PHI","R",8,132.4,1.8,0.4,0,0,-0.4,-0.1,1.8,0.4,-0.5,1.7,0.3,0.6
"Tyson Jost","22-23","BUF","C",59,787.4,2.4,3.6,0,0.8,0.2,0.3,2.4,4.4,0.5,7.3,1.2,2.4
"Tyson Jost","22-23","MIN","C",12,152.9,-1,-1.8,0,-0.9,0,0,-1,-2.7,0,-3.6,-0.6,-1.2
"Urho Vaakanainen","22-23","ANA","D",23,378.5,-5.3,-0.5,0,0,0.9,-0.2,-5.4,-0.5,0.6,-5.2,-0.9,-1.7
"Valeri Nichushkin","22-23","COL","R",53,1073.9,4.4,1.8,2.1,-0.8,2.3,-0.5,6.5,0.9,1.8,9.3,1.6,3
"Vasily Podkolzin","22-23","VAN","R",39,461.7,-1.9,0.8,-0.5,0,0.5,0.1,-2.4,0.8,0.6,-1,-0.2,-0.3
"Victor Hedman","22-23","T.B","D",76,1802.6,1.9,-8.4,1.5,1.1,1.5,-0.1,3.4,-7.3,1.4,-2.4,-0.4,-0.8
"Victor Mete","22-23","TOR","D",11,143.8,1.6,-0.7,0,0.1,0,0,1.6,-0.6,0,1,0.2,0.3
"Victor Olofsson","22-23","BUF","L",75,1076,-0.4,-3.4,1.8,0,1.9,-0.6,1.3,-3.4,1.3,-0.8,-0.1,-0.3
"Victor Soderstrom","22-23","ARI","D",30,485.1,-0.3,-1.1,1.1,0.2,-1.2,-0.2,0.8,-1,-1.3,-1.5,-0.3,-0.5
